"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","1.11","1.11","1.03","1.03","","-17.29","153,600"
"1973-01-01T06:00:00.000Z","1.03","1.04","0.6562","0.6562","-36.37","-53.65","3,032,000"
"1974-01-01T06:00:00.000Z","0.6562","0.9375","0.3281","0.3594","-45.23","-62.52","2,852,800"
"1975-01-01T06:00:00.000Z","0.3594","0.7500","0.3594","0.5000","39.12","21.83","2,308,800"
"1976-01-01T06:00:00.000Z","0.4844","0.7500","0.4844","0.7188","43.76","26.47","7,001,600"
"1977-01-03T06:00:00.000Z","0.6875","0.7344","0.5625","0.7188","","-17.29","5,481,600"
"1978-01-02T06:00:00.000Z","0.7031","1.02","0.6094","0.7344","2.17","-15.12","10,897,600"
"1979-01-01T06:00:00.000Z","0.7344","0.9531","0.6875","0.9062","23.39","6.11","11,696,000"
"1980-01-01T06:00:00.000Z","0.9062","1.38","0.6875","1.35","49.15","31.86","25,649,600"
"1981-01-01T06:00:00.000Z","1.37","2.44","1.20","2.38","75.72","58.43","20,699,200"
"1982-01-01T06:00:00.000Z","2.38","2.86","1.52","2.42","1.97","-15.31","38,875,200"
"1983-01-03T06:00:00.000Z","2.42","4.09","2.34","3.25","34.19","16.90","16,165,600"
"1984-01-02T06:00:00.000Z","3.25","3.55","2.03","2.20","-32.21","-49.50","16,584,800"
"1985-01-01T06:00:00.000Z","2.20","3.41","2.19","3.23","46.81","29.52","14,773,600"
"1986-01-01T06:00:00.000Z","3.25","4.28","3.06","3.53","9.18","-8.11","12,888,800"
"1987-01-01T06:00:00.000Z","3.53","5.53","3.09","4.19","18.59","1.30","16,043,200"
"1988-01-01T06:00:00.000Z","4.25","4.38","3.06","3.75","-10.45","-27.73","11,779,600"
"1989-01-02T06:00:00.000Z","3.81","5.66","3.72","4.75","26.67","9.38","12,532,400"
"1990-01-01T06:00:00.000Z","4.75","5.00","2.63","3.06","-35.53","-52.81","11,030,800"
"1991-01-01T06:00:00.000Z","3.06","4.69","2.78","4.66","52.04","34.75","11,477,600"
"1992-01-01T06:00:00.000Z","4.63","6.03","4.19","5.63","20.81","3.52","11,891,200"
"1993-01-01T06:00:00.000Z","5.59","6.31","4.97","6.13","8.89","-8.40","6,499,600"
"1994-01-03T06:00:00.000Z","6.09","7.28","5.31","6.88","12.24","-5.04","12,648,800"
"1995-01-02T06:00:00.000Z","6.88","7.66","5.66","5.88","-14.55","-31.83","16,905,600"
"1996-01-01T06:00:00.000Z","5.88","7.50","5.53","7.06","20.21","2.93","15,746,400"
"1997-01-01T06:00:00.000Z","7.03","8.77","6.75","7.44","5.31","-11.98","19,630,400"
"1998-01-01T06:00:00.000Z","7.44","8.92","6.44","8.92","19.96","2.67","20,614,400"
"1999-01-01T06:00:00.000Z","8.86","10.11","7.72","7.73","-13.31","-30.60","13,286,800"
"2000-01-03T06:00:00.000Z","7.72","7.97","4.91","6.14","-20.61","-37.89","25,979,200"
"2001-01-01T06:00:00.000Z","6.16","7.09","5.69","6.65","8.30","-8.99","20,660,400"
"2002-01-01T06:00:00.000Z","6.65","8.13","4.06","6.10","-8.27","-25.56","27,054,800"
"2003-01-01T06:00:00.000Z","6.08","8.95","4.16","8.47","38.93","21.65","22,126,200"
"2004-01-01T06:00:00.000Z","8.53","12.74","8.19","12.52","47.67","30.38","39,300,800"
"2005-01-03T06:00:00.000Z","12.50","14.99","9.29","12.52","","-17.29","61,346,000"
"2006-01-02T06:00:00.000Z","12.57","26.39","12.41","25.61","104.67","87.39","112,115,200"
"2007-01-01T06:00:00.000Z","25.61","27.41","17.60","20.30","-20.77","-38.06","160,305,500"
"2008-01-01T06:00:00.000Z","20.23","26.00","14.76","18.89","-6.95","-24.23","151,887,268"
"2009-01-01T06:00:00.000Z","18.91","20.89","13.93","19.60","3.79","-13.50","108,780,856"
"2010-01-01T06:00:00.000Z","19.78","22.42","16.37","20.60","5.10","-12.19","81,605,826"
"2011-01-03T06:00:00.000Z","20.82","23.98","17.75","18.98","-7.89","-25.18","70,721,340"
"2012-01-02T06:00:00.000Z","19.43","28.01","18.68","27.38","44.27","26.98","69,654,852"
"2013-01-01T06:00:00.000Z","27.83","50.60","27.30","49.06","79.21","61.93","67,764,580"
"2014-01-01T06:00:00.000Z","49.06","55.29","39.11","53.24","8.52","-8.77","76,863,704"
"2015-01-01T06:00:00.000Z","53.57","64.59","48.66","60.22","13.11","-4.18","82,442,104"
"2016-01-01T06:00:00.000Z","59.28","86.50","53.88","84.83","40.87","23.58","98,557,325"
"2017-01-02T06:00:00.000Z","84.99","103.36","77.97","98.67","16.31","-0.9722","89,512,002"
"2018-01-01T06:00:00.000Z","99.00","125.09","82.74","98.03","-0.6486","-17.94","94,151,960"
"2019-01-02T06:00:00.000Z","96.76","152.12","93.08","150.33","53.35","36.06","95,208,049"
"2020-01-02T06:00:00.000Z","150.25","305.00","124.53","283.31","88.46","71.17","145,571,470"
"2021-01-04T06:00:00.000Z","283.43","475.35","253.85","469.01","65.55","48.26","99,163,147"
"2022-01-03T06:00:00.000Z","466.35","468.05","206.19","235.35","-49.82","-67.11","127,897,331"
"2023-01-03T06:00:00.000Z","238.31","415.73","225.66","407.69","73.23","55.94","78,192,089"